;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	ATTACK	BSpikeHorn	100	5000	-	-	-	-
#RecordIn	DAMAGED	BSpikeHorn	100	5000	-	-	-	-
#RecordIn	DEAD	BSpikeHorn	100	5000	-	-	-	-
#RecordIn	PIECE	DApe	10000	20000	I need to get stronger!	How could such a small human hope to defeat me?	-	-
#RecordIn	ATTACK	DApe	100	5000	"I will smash you into dust. Don't worry, it will be a quick death!"	It won't even take all my strength to smash you.	-	-
#RecordIn	DAMAGED	DApe	100	5000	Is that all you've got?	Fights are only fun if the opponent fights back!	-	-
#RecordIn	DEAD	DApe	100	5000	I wasn't strong enough...	How is this possible...	-	-
#RecordIn	PIECE	DLich	10000	20000	The eternal darkness empowers me.	You will never break free from the darkness.	The era of darkness will come soon.	-
#RecordIn	ATTACK	DLich	100	5000	You will give me your soul for all eternity!	Your soul will beg to be freed from my grasp.	"If you die by my hands, you will find rest in the darkness."	-
#RecordIn	DAMAGED	DLich	100	5000	This pain only cleanses me!	Do not resist the darkness!	Devote your life to me.	-
#RecordIn	DEAD	DLich	100	5000	"You may have defeated me, but your time will come..."	Greater horrors still await you...	The power of darkness will bring me back...	-
#RecordIn	PIECE	DNepilim	10000	20000	I am a creature of the darkness. Only death awaits those who defy me!	This continent will be destroyed when the vortex of chaos opens.	Impure creatures must be purified.	-
#RecordIn	ATTACK	DNepilim	100	5000	I will give you the gift of death.	"Try as you might, human, you will never defeat me."	"Resistance is futile, human!"	-
#RecordIn	DAMAGED	DNepilim	100	5000	Make it easier on yourself by giving up now!	Your efforts are in vain!	Now this is fun!	-
#RecordIn	DEAD	DNepilim	100	5000	How could I have been defeated by the likes of you...	Impossible...	I underestimated the strength of humans...	-
#RecordIn	PIECE	FElfArc	10000	20000	Surrender to the power of darkness.	No prey is better to hunt than humans!	-	-
#RecordIn	ATTACK	FElfArc	100	5000	I will pierce your heart with my crossbow!	The hunt begins.	-	-
#RecordIn	DAMAGED	FElfArc	100	5000	It's going to take more than that to defeat me!	"You're quite resilient, for prey!"	-	-
#RecordIn	DEAD	FElfArc	100	5000	I go now to be consumed by the darkness...	My crossbow has failed me...	-	-
#RecordIn	PIECE	FElfCle	10000	20000	Only death can cleanse the light.	We are here to bring darkness to Isya.	-	-
#RecordIn	ATTACK	FElfCle	100	5000	My mace calls for your destruction!	No mere human can stop us!	-	-
#RecordIn	DAMAGED	FElfCle	100	5000	It is not too late to submit to death.	"Finally, a human with some spirit!"	-	-
#RecordIn	DEAD	FElfCle	100	5000	"No, I cannot die..."	We are but pawns in this great mission...	-	-
#RecordIn	PIECE	FElfFig	10000	20000	"Do not worry, your death will be painless."	"Does anyone want to play? My game is deadly, though."	-	-
#RecordIn	ATTACK	FElfFig	100	5000	Death will be swift upon you!	My dagger is quick! Death might find you when you don't expect it!	-	-
#RecordIn	DAMAGED	FElfFig	100	5000	I can all the pain you wish to deliver.	You're good at this game!	-	-
#RecordIn	DEAD	FElfFig	100	5000	I was just starting to have some fun...	"Beaten at my own game, but I regret nothing..."	-	-
#RecordIn	PIECE	FElfMag	10000	20000	Nothing compares to the power of darkness.	"Power of darkness, fill me with strength!"	-	-
#RecordIn	ATTACK	FElfMag	100	5000	I'll still enjoy killing you though!	I will absorb your magic!	-	-
#RecordIn	DAMAGED	FElfMag	100	5000	The darkness is leaving me...	"My magic is fading, why won't you fall?"	-	-
#RecordIn	DEAD	FElfMag	100	5000	This can't be the end...	I have no place in a world without magic...	-	-
#RecordIn	PIECE	FElfSage	10000	20000	Weak humans all need to be punished.	My will is absolute! No one can escape from me!	The dark will be upon this land soon.	-
#RecordIn	ATTACK	FElfSage	100	5000	"Prepare to die, human!"	"Is that all you've brought to this battle? Don’t make me laugh, worm!"	"Concede, and we will take you as a slave."	-
#RecordIn	DAMAGED	FElfSage	100	5000	Can't you fight any harder than this?	I must find the strength to destroy this vermin!	Your resistance angers us.	-
#RecordIn	DEAD	FElfSage	100	5000	"No, not at a human's hands..."	My will has failed me...	Another shall replace me...	-
#RecordIn	PIECE	FKnight	10000	20000	No opponent stays alive for long against me.	I trust no one but my sword.	-	-
#RecordIn	ATTACK	FKnight	100	5000	Beg for mercy and your life!	This fight will end before it begins.	-	-
#RecordIn	DAMAGED	FKnight	100	5000	"This is fun, but it's time for the real fight to start!"	I didn't expect you to be so strong!	-	-
#RecordIn	DEAD	FKnight	100	5000	"Ah, finally a good battle..."	My trust has deceived me...	-	-
#RecordIn	PIECE	FKnuckleman	10000	20000	Destruction is my specialty!	I take good care of my fists.	-	-
#RecordIn	ATTACK	FKnuckleman	100	5000	"You should have brought stronger armor, this will be easy!"	Flee if you are scared; you do not want me to catch you.	-	-
#RecordIn	DAMAGED	FKnuckleman	100	5000	You're no match for me!	"Are my skills slipping, or are yours just superior?"	-	-
#RecordIn	DEAD	FKnuckleman	100	5000	Maybe I was too confident...	I should have taken better care of my fists...	-	-
#RecordIn	PIECE	FRanger	10000	20000	Luck favors the strong.	My arrows always find their mark.	-	-
#RecordIn	ATTACK	FRanger	100	5000	"Does this hurt, human?"	"This will be fun, just don't give up!"	-	-
#RecordIn	DAMAGED	FRanger	100	5000	I must shoot faster!	You're doing much better than I expected.	-	-
#RecordIn	DEAD	FRanger	100	5000	My luck seems to have ended here...	"No, I'm not the best after all..."	-	-
#RecordIn	PIECE	FSpearman	10000	20000	We train with the threat of death!	Effectively wielding a spear in battle requires skill and finesse.	-	-
#RecordIn	ATTACK	FSpearman	100	5000	You cannot avoid my spear!	"Watch my spear closely, it may strike you at any time!"	-	-
#RecordIn	DAMAGED	FSpearman	100	5000	"I grow annoyed at your resistance, my spear will find you yet!"	I did not think you would be so challenging of an opponent!	-	-
#RecordIn	DEAD	FSpearman	100	5000	"No, my spear has failed me..."	My spear is broken...	-	-
#RecordIn	PIECE	GTornado	10000	20000	"We're the air elementals, protectors of the black smoke."	I will never tell this secret.	-	-
#RecordIn	ATTACK	GTornado	100	5000	We cannot allow humans to defile this place!	"You should not be here, human."	-	-
#RecordIn	DAMAGED	GTornado	100	5000	"Elementals, give me your power!"	I will not allow you to learn this secret!	-	-
#RecordIn	DEAD	GTornado	100	5000	There are still others...	The vortex will destroy you eventually...	-	-
#RecordIn	PIECE	Chimera	10000	20000	"Horror, chaos, death..."	This will all end soon.	We share the spoils from the game we hunt.	-
#RecordIn	ATTACK	Chimera	100	5000	Despair will consume your hopes.	Fair warning: you will not leave here alive.	"I'm happy to see humans here, they're delicious!"	-
#RecordIn	DAMAGED	Chimera	100	5000	Do not fight destiny!	"Accept your death, human."	Life only becomes more painful the longer you live.	-
#RecordIn	DEAD	Chimera	100	5000	"I will return to destroy you, human..."	It cannot be! How did a human defeat me...	"Don't relish in your victory just yet, this is not over..."	-
#RecordIn	PIECE	Psy_LeoPard	10000	20000	-	-	-	-
#RecordIn	ATTACK	Psy_LeoPard	100	5000	-	-	-	-
#RecordIn	DAMAGED	Psy_LeoPard	100	5000	-	-	-	-
#RecordIn	DEAD	Psy_LeoPard	100	5000	-	-	-	-
#RecordIn	PIECE	Psy_Mist	10000	20000	I need new sacrifices.	"I may not have a body, but I am still powerful."	-	-
#RecordIn	ATTACK	Psy_Mist	100	5000	Your soul will be mine!	Your pain will echo in the breeze!	-	-
#RecordIn	DAMAGED	Psy_Mist	100	5000	Human fate is sealed.	You're not even worth the fight.	-	-
#RecordIn	DEAD	Psy_Mist	100	5000	I will still have your soul one day...	I fade into eternity...	-	-
#RecordIn	PIECE	Psy_Pergy	10000	20000	-	-	-	-
#RecordIn	ATTACK	Psy_Pergy	100	5000	-	-	-	-
#RecordIn	DAMAGED	Psy_Pergy	100	5000	-	-	-	-
#RecordIn	DEAD	Psy_Pergy	100	5000	-	-	-	-
#RecordIn	PIECE	Psy_Psyken	10000	20000	Welcome to my home! May I offer you some death?	"Darn, I killed my pet human again. Time to get a new one."	"I wish my knife was bigger, like a dagger."	-
#RecordIn	ATTACK	Psy_Psyken	100	5000	You should never enter someone's home and then try to fight them.	Prepare for pain!	Die!	-
#RecordIn	DAMAGED	Psy_Psyken	100	5000	This pain is making me angry!	That hurts! I'm going to hurt you back!	"I'm giving my best, but it might not be enough."	-
#RecordIn	DEAD	Psy_Psyken	100	5000	"No, not in my own home..."	I guess you wouldn't make a good pet...	I only wanted to play...	-
#RecordIn	PIECE	Psy_PsykenDog	10000	20000	-	-	-	-
#RecordIn	ATTACK	Psy_PsykenDog	100	5000	-	-	-	-
#RecordIn	DAMAGED	Psy_PsykenDog	100	5000	-	-	-	-
#RecordIn	DEAD	Psy_PsykenDog	100	5000	-	-	-	-
#RecordIn	PIECE	Ruga	10000	20000	-	-	-	-
#RecordIn	ATTACK	Ruga	100	5000	-	-	-	-
#RecordIn	DAMAGED	Ruga	100	5000	-	-	-	-
#RecordIn	DEAD	Ruga	100	5000	-	-	-	-
#RecordIn	PIECE	Psy_Wraith	10000	20000	They will kill every living human.	Do not fear death.	-	-
#RecordIn	ATTACK	Psy_Wraith	100	5000	Maybe death will make you realize your wrong doings.	I will destroy your body and consume your soul.	-	-
#RecordIn	DAMAGED	Psy_Wraith	100	5000	Can you feel the pain?	Your efforts are for nothing.	-	-
#RecordIn	DEAD	Psy_Wraith	100	5000	I guess I am the one to die...	I put a curse on you...	-	-
#RecordIn	PIECE	SElfFig	10000	20000	"We made a bet, who can kill the most humans."	"I'm bored, will anyone play with me?"	-	-
#RecordIn	ATTACK	SElfFig	100	5000	This should help me become stronger!	I like you human! Let's play!	-	-
#RecordIn	DAMAGED	SElfFig	100	5000	You're nothing but vermin to me!	"You play rough, human."	-	-
#RecordIn	DEAD	SElfFig	100	5000	"No, I cannot be dying..."	I lost the game...	-	-
#RecordIn	PIECE	SElfMag	10000	20000	I want to test my power.	"I need to test my magic, but on what?"	-	-
#RecordIn	ATTACK	SElfMag	100	5000	There's not much that pleases me more than seeing terrified humans!	The perfect target! Stand still!	-	-
#RecordIn	DAMAGED	SElfMag	100	5000	Do think I will be defeated so easily? Fool!	Maybe I should have practiced on a weaker target.	-	-
#RecordIn	DEAD	SElfMag	100	5000	This the end for me...	Now I will never become powerful...	-	-
#RecordIn	PIECE	Tornado	10000	20000	The strength of our power derives from the dust of the void.	No humans allowed in here!	-	-
#RecordIn	ATTACK	Tornado	100	5000	Have you come to die? Let me grant that wish.	"I have never seen a human before, let's see what you're made of!"	-	-
#RecordIn	DAMAGED	Tornado	100	5000	I will not be defeated by a human!	I never knew humans were so reckless!	-	-
#RecordIn	DEAD	Tornado	100	5000	Everything is going dark...	Defeat...	-	-
#RecordIn	PIECE	Wape	10000	20000	-	-	-	-
#RecordIn	ATTACK	WApe	100	5000	-	-	-	-
#RecordIn	DAMAGED	WApe	100	5000	-	-	-	-
#RecordIn	DEAD	WApe	100	5000	-	-	-	-
#RecordIn	PIECE	WLeoPard	10000	20000	-	-	-	-
#RecordIn	ATTACK	WLeoPard	100	5000	-	-	-	-
#RecordIn	DAMAGED	WLeoPard	100	5000	-	-	-	-
#RecordIn	DEAD	WLeoPard	100	5000	-	-	-	-
#RecordIn	PIECE	Psy_Spider	10000	20000	-	-	-	-
#RecordIn	ATTACK	Psy_Spider	100	5000	-	-	-	-
#RecordIn	DAMAGED	Psy_Spider	100	5000	-	-	-	-
#RecordIn	DEAD	Psy_Spider	100	5000	-	-	-	-
#RecordIn	PIECE	IncubusG	10000	20000	"Welcome to my party, everyone!"	Luxury is what I strive to achieve.	-	-
#RecordIn	ATTACK	IncubusG	100	5000	"I hate dishonorable, disgusting people like you!"	"Nothing will delay my party, so you must die!"	-	-
#RecordIn	DAMAGED	IncubusG	100	5000	You've ruined my clothes! How dare you!	What a weak human.	-	-
#RecordIn	DEAD	IncubusG	100	5000	The party is over for me...	"No, my party isn't even over yet..."	-	-
#RecordIn	PIECE	Psy_Statue	10000	20000	I guard the house from intruders.	My will... control... obedience...	-	-
#RecordIn	ATTACK	Psy_Statue	100	5000	Intruder alert! Destroy!	If I get rid of you... my life will continue.	-	-
#RecordIn	DAMAGED	Psy_Statue	100	5000	"Defenses failing, backup requested."	My life... is slipping...	-	-
#RecordIn	DEAD	Psy_Statue	100	5000	Task... Failed...	"Goodbye, world..."	-	-
#RecordIn	PIECE	E_XKebing_Chat	60000	60000	"Argh, those humans are starting again."	This time we'll stop them!	"We have reinforcement this time, so it won't be easy!"	-
#RecordIn	ATTACK	E_XKebing_Chat	50	0	-	-	-	-
#RecordIn	DAMAGED	E_XKebing_Chat	50	0	-	-	-	-
#RecordIn	DEAD	E_XKebing_Chat	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_Honeying	3000	6000	Red team go!! Blue team is nothing!!	I won't forgive you if you lose!!!!	-	-
#RecordIn	ATTACK	KDSoccer_Honeying	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_Honeying	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_Honeying	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_Kebing	6000	9000	Don't lose to the Red Team!!	B~~lu~~~e team!! Fighting!!	-	-
#RecordIn	ATTACK	KDSoccer_Kebing	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_Kebing	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_Kebing	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_DadNPC	10000	15000	It's good to come outside for sometime!!	Shoot!! Shoot!! Ah~~~~what ..the..	-	-
#RecordIn	ATTACK	KDSoccer_DadNPC	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_DadNPC	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_DadNPC	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_MomNPC	12000	17000	Is this sports called Football?	I have seen this for first time but it's pretty fun. It's worth comeing out here.	-	-
#RecordIn	ATTACK	KDSoccer_MomNPC	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_MomNPC	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_MomNPC	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_DanielNPC	5000	9000	Wow! So cool! I want to be a football Slime also!!	"I don't know, anybody win!!!"	-	-
#RecordIn	ATTACK	KDSoccer_DanielNPC	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_DanielNPC	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_DanielNPC	50	0	-	-	-	-
#RecordIn	PIECE	WindyWitch	1800000	1800000	What a beautiful blizzard.	-	-	-
#RecordIn	ATTACK	WindyWitch	50	0	"Die, intruder! Die!"	-	-	-
#RecordIn	DAMAGED	WindyWitch	50	0	-	-	-	-
#RecordIn	DEAD	WindyWitch	50	0	Turned into the blizzard winds…	-	-	-
#RecordIn	PIECE	WindyGiant	1800000	1800000	"Wolf, elephant, bear; which shall I have for dinner?"	-	-	-
#RecordIn	ATTACK	WindyGiant	50	0	I'll send you crying to you mommy!	-	-	-
#RecordIn	DAMAGED	WindyGiant	50	0	Haha! Is that all you've got?!	-	-	-
#RecordIn	DEAD	WindyGiant	50	0	"You have defeated me, but more will take my place!"	-	-	-
#RecordIn	PIECE	ArkGuard	1800000	1800000	I'm bored. Let's cause some trouble tonight.	-	-	-
#RecordIn	ATTACK	ArkGuard	50	0	"Haha! King Albireo, grant me your power!"	-	-	-
#RecordIn	DAMAGED	ArkGuard	50	0	-	-	-	-
#RecordIn	DEAD	ArkGuard	50	0	-	-	-	-
#RecordIn	PIECE	ArkNovice	1800000	1800000	"Whew, when will this training finally be over?"	-	-	-
#RecordIn	ATTACK	ArkNovice	50	0	It hurts but you gotta stay strong!	-	-	-
#RecordIn	DAMAGED	ArkNovice	50	0	-	-	-	-
#RecordIn	DEAD	ArkNovice	50	0	-	-	-	-
#RecordIn	PIECE	ArkArch	1800000	1800000	3.1415926534... 5? Hmm.	-	-	-
#RecordIn	ATTACK	ArkArch	50	0	Here's Pi in your eye!	-	-	-
#RecordIn	DAMAGED	ArkArch	50	0	-	-	-	-
#RecordIn	DEAD	ArkArch	50	0	-	-	-	-
#RecordIn	PIECE	ArkMech	1800000	1800000	Another night shift. *sigh*	-	-	-
#RecordIn	ATTACK	ArkMech	50	0	Where is the guard?? All I have is a screwdriver!	-	-	-
#RecordIn	DAMAGED	ArkMech	50	0	-	-	-	-
#RecordIn	DEAD	ArkMech	50	0	-	-	-	-
#RecordIn	PIECE	ArkMaster	1800000	1800000	He's been meditating a lot these days.	-	-	-
#RecordIn	ATTACK	ArkMaster	50	0	This would be easier if we used a rocket!	-	-	-
#RecordIn	DAMAGED	ArkMaster	50	0	Are you really going to beat up an old man??	-	-	-
#RecordIn	DEAD	ArkMaster	50	0	-	-	-	-
#RecordIn	PIECE	ValeArkGuard	5000	9000	He left his colleagues.	I can't?rest in peace until I kill him and Garuda	-	-
#RecordIn	ATTACK	ValeArkGuard	200	0	I cannot die twice.	-	-	-
#RecordIn	DAMAGED	ValeArkGuard	200	0	My grudge is stronger than your attack.	-	-	-
#RecordIn	DEAD	ValeArkGuard	1000	0	I haven't had revenge yet…	-	-	-
#RecordIn	PIECE	KDSoccer_Honeying_14	3000	6000	Go Red team! The Blue team doesn't stand a chance!	"I came all the way out here to watch in the freezing weather, so don't lose or I'll never forgive you"	-	-
#RecordIn	ATTACK	KDSoccer_Honeying_14	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_Honeying_14	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_Honeying_14	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_Kebing_14	6000	9000	Don't lose to the Red team!!	"Brrr, it's freezing. Go Red team!"	-	-
#RecordIn	ATTACK	KDSoccer_Kebing_14	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_Kebing_14	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_Kebing_14	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_DadNPC_14	10000	15000	...The field is soooooo cold	Come on! Shoot! Ah... What... the...	-	-
#RecordIn	ATTACK	KDSoccer_DadNPC_14	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_DadNPC_14	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_DadNPC_14	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_MomNPC_14	12000	17000	Is this what you call soccer?!	"This is my first time watching, but it's worth seeing!"	-	-
#RecordIn	ATTACK	KDSoccer_MomNPC_14	50	0	-	-	-	-
#RecordIn	DAMAGED	KDSoccer_MomNPC_14	50	0	-	-	-	-
#RecordIn	DEAD	KDSoccer_MomNPC_14	50	0	-	-	-	-
#RecordIn	PIECE	KDSoccer_DanielNPC_14	5000	9000	Wow! This is so cool!	I don't really get what's going on but somebody win!	-	-
